1743	18
1744	27
1745	21
1750	29
1751	28
1752	22
1753	36
1754	35
1755	35
1756	34
1757	38
1758	34
1759	34
1760	34
1761	39
1762	36
1763	36
1764	33
1765	33
1766	34
1767	35
1768	34
1769	35
1770	32
1771	35
1772	35
1773	34
1774	37
1775	35
1776	35
1777	33
1778	35
1779	34
1780	36
1781	35
1782	36
1783	34
1784	36
1785	35
1786	36
1787	34
1788	37
1789	35
1790	34
1791	34
1792	34
1793	35
1794	33
1795	35
1796	35
1797	35
1798	35
1799	36
1800	35
1801	35
1802	36
1803	35
1804	36
1805	36
1806	35
1807	35
1808	35
1809	34
1810	33
1811	33
1812	34
1813	35
1814	34
1815	34
1816	34
1817	34
1818	36
1819	35
1820	35
1821	35
1822	35
1823	36
1824	35
1825	35
1826	35
1827	35
1828	35
1829	35
1830	36
1831	35
1832	35
1833	35
1834	35
1835	34
1836	36
1837	35
1838	36
1839	36
1840	37
1841	37
1842	36
1843	36
1844	36
1845	36
1846	36
1847	37
1848	36
1849	36
1850	36
1851	36
1852	36
1853	36
1854	35
1855	36
1856	36
1857	35
1858	36
1859	36
1860	37
1861	36
1862	36
1863	36
1864	36
1865	36
1866	36
1867	35
1868	36
1869	36
1870	36
1871	35
1872	36
1873	36
1874	36
1875	37
1876	36
1877	36
1878	37
1879	36
1880	36
1881	36
1882	36
1883	36
1884	35
1885	36
1886	36
1887	36
1888	36
1889	36
1890	36
1891	36
1892	36
1893	36
1894	35
1895	36
1896	36
1897	36
1898	36
1899	37
1900	37
1901	37
1902	36
1903	37
1904	36
1905	36
1906	36
1907	36
1908	36
1909	36
1910	36
1911	36
1912	36
1913	36
1914	36
1915	37
1916	36
1917	37
1918	36
1919	37
1920	35
1921	38
1922	37
1923	36
1924	37
1925	36
1926	36
1927	36
1928	36
1929	36
1930	36
1931	37
1932	36
1933	36
1934	36
1935	36
1936	36
1937	37
1938	37
1939	36
1940	36
1941	36
1942	36
1943	36
1944	36
1945	36
1946	37
1947	37
1948	36
1949	36
1950	36
1951	36
1952	36
1953	36
1954	36
1955	36
1956	36
1957	36
1958	36
1959	36
1960	37
1961	37
1962	37
1963	37
1964	36
1965	36
1966	36
1967	36
1968	36
1969	36
1970	36
1971	36
1972	36
1973	37
1974	36
1975	37
1976	35
1977	36
1978	36
1979	37
1980	37
1981	36
1982	36
1983	37
1984	37
1985	36
1986	37
1987	37
1988	37
1989	38
1990	38
1991	37
1992	37
1993	37
1994	37
1995	37
1996	38
1997	37
1998	38
1999	38
2000	38
2001	38
2002	38
2003	38
2004	37
2005	38
2006	38
2007	37
2008	38
2009	38
2010	38
2011	38
2012	39
2013	39
